date,AAPL,$RUA
2010-01-04,;28.84;,;664.049988;
2010-01-05,;28.89;,;665.969971;
2010-01-06,;28.43;,;666.549988;
2010-01-07,;28.38;,;669.340027;
2010-01-08,;28.56;,;671.48999;
2010-01-11,;28.31;,;672.380005;
2010-01-12,;27.99;,;665.539978;
2010-01-13,;28.39;,;671.539978;
2010-01-14,;28.22;,;673.150024;
2010-01-15,;27.75;,;665.669983;
2010-01-19,;28.98;,;674.190002;
2010-01-20,;28.53;,;667.02002;
2010-01-21,;28.04;,;654.909973;
2010-01-22,;26.65;,;640.75;
2010-01-25,;27.36;,;643.5;
2010-01-26,;27.75;,;640.580017;
2010-01-27,;28.01;,;643.650024;
2010-01-28,;26.85;,;635.599976;
2010-01-29,;25.88;,;628.98999;
2010-02-01,;26.24;,;638.140015;
2010-02-02,;26.39;,;646.25;
2010-02-03,;26.85;,;642.609985;
2010-02-04,;25.88;,;622.219971;
2010-02-05,;26.34;,;624.039978;
2010-02-08,;26.16;,;618.630005;
2010-02-09,;26.44;,;626.799988;
2010-02-10,;26.29;,;625.599976;
2010-02-11,;26.77;,;632.409973;
2010-02-12,;27.0;,;631.869995;
2010-02-16,;27.41;,;643.280029;
2010-02-17,;27.29;,;646.219971;
2010-02-18,;27.35;,;650.429993;
2010-02-19,;27.18;,;651.900024;
2010-02-22,;27.01;,;651.26001;
2010-02-23,;26.55;,;643.130005;
2010-02-24,;27.04;,;649.210022;
2010-02-25,;27.22;,;648.219971;
2010-02-26,;27.57;,;648.900024;
2010-03-01,;28.16;,;656.5;
2010-03-02,;28.14;,;658.789978;
2010-03-03,;28.21;,;658.960022;
2010-03-04,;28.39;,;661.299988;
2010-03-05,;29.5;,;670.97998;
2010-03-08,;29.52;,;671.119995;
2010-03-09,;30.05;,;672.390015;
2010-03-10,;30.3;,;675.900024;
2010-03-11,;30.39;,;678.47998;
2010-03-12,;30.53;,;678.5;
2010-03-15,;30.16;,;678.320007;
2010-03-16,;30.24;,;683.830017;
2010-03-17,;30.2;,;687.950012;
2010-03-18,;30.27;,;687.210022;
2010-03-19,;29.95;,;683.049988;
2010-03-22,;30.29;,;687.380005;
2010-03-23,;30.77;,;692.650024;
2010-03-24,;30.91;,;688.619995;
2010-03-25,;30.54;,;686.659973;
2010-03-26,;31.11;,;687.070007;
2010-03-29,;31.31;,;691.130005;
2010-03-30,;31.78;,;691.289978;
2010-03-31,;31.67;,;688.73999;
2010-04-01,;31.8;,;694.030029;
2010-04-05,;32.14;,;700.789978;
2010-04-06,;32.28;,;702.349976;
2010-04-07,;32.42;,;698.390015;
2010-04-08,;32.33;,;700.330017;
2010-04-09,;32.58;,;705.090027;
2010-04-12,;32.65;,;706.400024;
2010-04-13,;32.67;,;707.090027;
2010-04-14,;33.11;,;715.780029;
2010-04-15,;33.54;,;716.359985;
2010-04-16,;33.34;,;705.23999;
2010-04-19,;33.29;,;707.190002;
2010-04-20,;32.96;,;713.619995;
2010-04-21,;34.93;,;713.549988;
2010-04-22,;35.91;,;716.22998;
2010-04-23,;36.49;,;721.809998;
2010-04-26,;36.32;,;718.73999;
2010-04-27,;35.31;,;701.840027;
2010-04-28,;35.25;,;705.799988;
2010-04-29,;36.2;,;715.640015;
