date,Russel 3000,AAPL
2010-07-23,;650.280029;,;35.03;
2010-07-26,;658.52002;,;34.94;
2010-07-27,;657.059998;,;35.59;
2010-07-28,;651.650024;,;35.16;
2010-07-29,;649.01001;,;34.78;
2010-07-30,;649.390015;,;34.66;
2010-08-02,;663.299988;,;35.28;
2010-08-03,;659.640015;,;35.3;
2010-08-04,;664.27002;,;35.44;
2010-08-05,;662.719971;,;35.26;
2010-08-06,;660.26001;,;35.05;
2010-08-09,;664.409973;,;35.27;
2010-08-10,;659.130005;,;34.96;
2010-08-11,;639.679993;,;33.71;
2010-08-12,;636.359985;,;33.93;
2010-08-13,;633.400024;,;33.57;
2010-08-16,;634.030029;,;33.37;
2010-08-17,;642.390015;,;33.95;
2010-08-18,;643.539978;,;34.1;
2010-08-19,;632.200012;,;33.67;
2010-08-20,;630.25;,;33.64;
2010-08-23,;626.969971;,;33.12;
2010-08-24,;617.809998;,;32.33;
2010-08-25,;620.659973;,;32.73;
2010-08-26,;615.900024;,;32.38;
2010-08-27,;627.0;,;32.56;
2010-08-30,;617.27002;,;32.68;
2010-08-31,;617.47998;,;32.76;
2010-09-01,;636.25;,;33.73;
2010-09-02,;642.51001;,;33.98;
2010-09-03,;651.179993;,;34.87;
2010-09-07,;643.030029;,;34.74;
2010-09-08,;647.179993;,;35.43;
2010-09-09,;649.869995;,;35.45;
2010-09-10,;652.840027;,;35.49;
2010-09-13,;661.140015;,;35.98;
2010-09-14,;660.559998;,;36.12;
2010-09-15,;662.969971;,;36.41;
2010-09-16,;662.369995;,;37.27;
2010-09-17,;663.299988;,;37.11;
2010-09-20,;674.049988;,;38.17;
2010-09-21,;671.900024;,;38.24;
2010-09-22,;668.140015;,;38.77;
2010-09-23,;662.609985;,;38.93;
2010-09-24,;677.440002;,;39.39;
2010-09-27,;673.929993;,;39.23;
2010-09-28,;677.710022;,;38.65;
2010-09-29,;676.559998;,;38.72;
2010-09-30,;674.75;,;38.24;
2010-10-01,;677.679993;,;38.07;
2010-10-04,;671.830017;,;37.55;
2010-10-05,;686.169983;,;38.93;
2010-10-06,;684.98999;,;38.97;
2010-10-07,;683.98999;,;38.97;
2010-10-08,;688.849976;,;39.63;
2010-10-11,;689.080017;,;39.8;
2010-10-12,;691.76001;,;40.23;
2010-10-13,;697.150024;,;40.44;
2010-10-14,;694.619995;,;40.74;
2010-10-15,;695.849976;,;42.41;
2010-10-18,;700.640015;,;42.85;
2010-10-19,;689.0;,;41.7;
2010-10-20,;696.52002;,;41.84;
2010-10-21,;697.190002;,;41.71;
2010-10-22,;699.419983;,;41.43;
2010-10-25,;701.400024;,;41.62;
2010-10-26,;701.390015;,;41.51;
2010-10-27,;699.690002;,;41.48;
2010-10-28,;700.049988;,;41.13;
2010-10-29,;700.369995;,;40.56;
2010-11-01,;700.630005;,;40.99;
2010-11-02,;706.909973;,;41.69;
2010-11-03,;709.330017;,;42.15;
2010-11-04,;723.22998;,;42.89;
2010-11-05,;726.140015;,;42.73;
2010-11-08,;724.929993;,;42.93;
2010-11-09,;718.690002;,;42.59;
2010-11-10,;722.580017;,;42.85;
2010-11-11,;719.849976;,;42.67;
2010-11-12,;710.73999;,;41.51;
2010-11-15,;710.169983;,;41.37;
2010-11-16,;698.349976;,;40.64;
2010-11-17,;699.070007;,;40.49;
2010-11-18,;709.900024;,;41.56;
2010-11-19,;712.109985;,;41.33;
2010-11-22,;711.859985;,;42.23;
2010-11-23,;702.070007;,;41.6;
2010-11-24,;713.400024;,;42.42;
2010-11-26,;708.369995;,;42.45;
2010-11-29,;707.330017;,;42.7;
2010-11-30,;702.919983;,;41.93;
2010-12-01,;718.01001;,;42.64;
2010-12-02,;727.0;,;42.87;
2010-12-03,;729.549988;,;42.78;
2010-12-06,;729.190002;,;43.14;
2010-12-07,;729.640015;,;42.88;
2010-12-08,;731.559998;,;43.26;
2010-12-09,;734.280029;,;43.09;
2010-12-10,;739.169983;,;43.2;
2010-12-13,;738.609985;,;43.35;
2010-12-14,;739.169983;,;43.16;
2010-12-15,;735.369995;,;43.17;
2010-12-16,;740.47998;,;43.29;
2010-12-17,;741.590027;,;43.2;
2010-12-20,;743.48999;,;43.42;
2010-12-21,;748.419983;,;43.69;
2010-12-22,;750.710022;,;43.82;
2010-12-23,;749.409973;,;43.61;
2010-12-27,;750.01001;,;43.75;
2010-12-28,;750.090027;,;43.86;
2010-12-29,;751.200012;,;43.83;
2010-12-30,;750.299988;,;43.61;
