date,GOOG,AAPL,IBM,MSFT
2010-05-12,;1.0;,;35.79;,;123.3;,;26.26;
2010-05-13,;1.0;,;35.28;,;122.18;,;26.08;
2010-05-14,;1.0;,;34.66;,;121.91;,;25.8;
2010-05-17,;1.0;,;34.71;,;121.22;,;25.81;
2010-05-18,;1.0;,;34.46;,;120.76;,;25.62;
2010-05-19,;1.0;,;33.91;,;119.75;,;25.3;
2010-05-20,;1.0;,;32.46;,;115.05;,;24.29;
2010-05-21,;1.0;,;33.09;,;116.55;,;24.05;
2010-05-24,;1.0;,;33.69;,;115.65;,;23.54;
2010-05-25,;1.0;,;33.48;,;115.72;,;23.36;
2010-05-26,;1.0;,;33.33;,;114.52;,;22.41;
2010-05-27,;1.0;,;34.59;,;117.45;,;23.29;
2010-05-28,;1.0;,;35.08;,;116.4;,;23.12;
2010-06-01,;1.0;,;35.62;,;115.55;,;23.2;
2010-06-02,;1.0;,;36.04;,;118.4;,;23.71;
2010-06-03,;1.0;,;35.93;,;118.91;,;24.07;
2010-06-04,;1.0;,;34.95;,;116.42;,;23.11;
2010-06-07,;1.0;,;34.26;,;115.35;,;22.66;
2010-06-08,;1.0;,;34.04;,;114.97;,;22.5;
2010-06-09,;1.0;,;33.21;,;115.14;,;22.21;
2010-06-10,;1.0;,;34.21;,;118.65;,;22.4;
2010-06-11,;1.0;,;34.62;,;119.37;,;22.99;
2010-06-14,;1.0;,;34.72;,;119.41;,;22.85;
2010-06-15,;1.0;,;35.46;,;120.61;,;23.81;
2010-06-16,;1.0;,;36.49;,;121.13;,;23.58;
2010-06-17,;1.0;,;37.12;,;121.72;,;23.63;
2010-06-18,;1.0;,;37.42;,;120.95;,;23.69;
2010-06-21,;1.0;,;36.89;,;121.41;,;23.25;
2010-06-22,;1.0;,;37.39;,;120.16;,;23.09;
2010-06-23,;1.0;,;37.0;,;120.91;,;22.68;
2010-06-24,;1.0;,;36.73;,;119.13;,;22.4;
2010-06-25,;1.0;,;36.42;,;118.13;,;21.98;
2010-06-28,;1.0;,;36.64;,;119.86;,;21.78;
2010-06-29,;1.0;,;34.98;,;116.25;,;20.88;
2010-06-30,;1.0;,;34.35;,;114.75;,;20.62;
2010-07-01,;1.0;,;33.93;,;113.9;,;20.75;
2010-07-02,;1.0;,;33.72;,;113.24;,;20.85;
2010-07-06,;1.0;,;33.95;,;114.73;,;21.34;
2010-07-07,;1.0;,;35.32;,;118.02;,;21.77;
2010-07-08,;1.0;,;35.24;,;118.92;,;21.87;
2010-07-09,;1.0;,;35.45;,;118.91;,;21.74;
2010-07-12,;1.0;,;35.13;,;119.57;,;22.25;
2010-07-13,;1.0;,;34.38;,;121.25;,;22.52;
2010-07-14,;1.0;,;34.51;,;121.48;,;22.79;
2010-07-15,;1.0;,;34.33;,;121.48;,;22.86;
2010-07-16,;1.0;,;34.12;,;118.98;,;22.3;
2010-07-19,;1.0;,;33.53;,;120.61;,;22.6;
2010-07-20,;1.0;,;34.39;,;117.6;,;22.83;
2010-07-21,;1.0;,;34.72;,;116.41;,;22.51;
2010-07-22,;1.0;,;35.37;,;118.46;,;23.15;
2010-07-23,;1.0;,;35.49;,;119.3;,;23.12;
2010-07-26,;1.0;,;35.4;,;119.33;,;23.38;
2010-07-27,;1.0;,;36.06;,;119.53;,;23.44;
2010-07-28,;1.0;,;35.63;,;119.35;,;23.25;
2010-07-29,;1.0;,;35.24;,;118.97;,;23.32;
2010-07-30,;1.0;,;35.13;,;119.32;,;23.12;
2010-08-02,;1.0;,;35.75;,;121.51;,;23.59;
2010-08-03,;1.0;,;35.77;,;121.15;,;23.44;
2010-08-04,;1.0;,;35.91;,;121.99;,;23.05;
2010-08-05,;1.0;,;35.73;,;122.51;,;22.73;
2010-08-06,;1.0;,;35.51;,;121.54;,;22.89;
2010-08-09,;1.0;,;35.74;,;123.27;,;22.95;
2010-08-10,;1.0;,;35.42;,;123.12;,;22.46;
2010-08-11,;1.0;,;34.16;,;121.25;,;22.27;
2010-08-12,;1.0;,;34.38;,;119.82;,;21.94;
2010-08-13,;1.0;,;34.01;,;119.42;,;21.86;
2010-08-16,;1.0;,;33.81;,;119.32;,;21.95;
2010-08-17,;1.0;,;34.41;,;119.96;,;22.26;
2010-08-18,;1.0;,;34.56;,;120.84;,;22.36;
2010-08-19,;1.0;,;34.12;,;120.38;,;22.01;
2010-08-20,;1.0;,;34.09;,;119.07;,;21.82;
2010-08-23,;1.0;,;33.56;,;118.11;,;21.87;
2010-08-24,;1.0;,;32.76;,;116.64;,;21.65;
2010-08-25,;1.0;,;33.17;,;116.99;,;21.71;
